Pais,Ciudad,Region,ID_Ubi
Afghanistan,Badakhshan,Fayzabad,1001
Afghanistan,Badakhshan,Mazar,1002
Afghanistan,Bamyan,Bamyan,1003
Afghanistan,Faryab,Maymana,1004
Afghanistan,Ghor,Ghor,1005
Afghanistan,Hirat,Hirat,1006
Afghanistan,Kabul,Kabul,1007
Afghanistan,Kandahar,Kandahar,1008
Afghanistan,Nangarhar,Jalalabad,1009
Afghanistan,Paktya,Gardez,1010
Afghanistan,Daykundi,Nili,1011
Algeria,Alger,Algiers,1012
Algeria,Tindouf,Tindouf,1013
Algeria,Tindouf,Samara,1014
Algeria,Tindouf,Dakhla,1015
Algeria,Tindouf,Boujdour,1016
Algeria,Tindouf,Auserd,1017
Algeria,Tindouf,Layoun,1018
Armenia,NA,National Average,1019
Armenia,NA,Artashat,1020
Armenia,NA,Gavar,1021
Armenia,NA,Vanadzor,1022
Armenia,NA,Armavir,1023
Armenia,NA,Kapan,1024
Armenia,NA,Berd,1025
Armenia,NA,Yeghegnadzor,1026
Armenia,NA,Yerevan,1027
Azerbaijan,NA,National Average,1028
Bangladesh,Barisal,Barisal Division,1029
Bangladesh,Chittagong,Chittagong Division,1030
Bangladesh,Dhaka,Dhaka Division,1031
Bangladesh,Khulna,Khulna Division,1032
Bangladesh,Rajshahi,Rajshahi Division,1033
Bangladesh,Sylhet,Sylhet Division,1034
Bassas da India,NA,National Average,1035
Bassas da India,NA,Port Blair,1036
Bassas da India,NA,Hyderabad,1037
Bassas da India,NA,Vijaywada,1038
Bassas da India,NA,Itanagar,1039
Bassas da India,NA,Guwahati,1040
Bassas da India,NA,Bhagalpur,1041
Bassas da India,NA,Patna,1042
Bassas da India,NA,Delhi,1043
Bassas da India,NA,Panaji,1044
Bassas da India,NA,Ahmedabad,1045
Bassas da India,NA,Rajkot,1046
Bassas da India,NA,Hisar,1047
Bassas da India,NA,Karnal,1048
Bassas da India,NA,Gurgaon,1049
Bassas da India,NA,Panchkula,1050
Bassas da India,NA,Mandi,1051
Bassas da India,NA,Shimla,1052
Bassas da India,NA,Bengaluru,1053
Bassas da India,NA,Dharwad,1054
Bassas da India,NA,Ernakulam,1055
Bassas da India,NA,T.Puram,1056
Bassas da India,NA,Tiruvanantapuram,1057
Bassas da India,NA,Kozhidoke,1058
Bassas da India,NA,Bhopal,1059
Bassas da India,NA,Indore,1060
Bassas da India,NA,Gwalior,1061
Bassas da India,NA,Jabalpur,1062
Bassas da India,NA,Mumbai,1063
Bassas da India,NA,Nagpur,1064
Bassas da India,NA,Raipur,1065
Bassas da India,NA,Shillong,1066
Bassas da India,NA,Aizwal,1067
Bassas da India,NA,Dimapur,1068
Bassas da India,NA,Kohima,1069
Bassas da India,NA,Bhubaneshwar,1070
Bassas da India,NA,Cuttack,1071
Bassas da India,NA,Sambalpur,1072
Bassas da India,NA,Rourkela,1073
Bassas da India,NA,Amritsar,1074
Bassas da India,NA,Ludhiana,1075
Bassas da India,NA,Bathinda,1076
Bassas da India,NA,Jaipur,1077
Bassas da India,NA,Jodhpur,1078
Bassas da India,NA,Kota,1079
Bassas da India,NA,Chennai,1080
Bassas da India,NA,Dindigul,1081
Bassas da India,NA,Thiruchirapalli,1082
Bassas da India,NA,Agartala,1083
Bassas da India,NA,Agra,1084
Bassas da India,NA,Kanpur,1085
Bassas da India,NA,Lucknow,1086
Bassas da India,NA,Varanasi,1087
Bassas da India,NA,Kolkata,1088
Bassas da India,NA,Siliguri,1089
Bassas da India,NA,Srinagar,1090
Bassas da India,NA,Jammu,1091
Bassas da India,NA,Chandigarh,1092
Bassas da India,NA,Ranchi,1093
Bassas da India,NA,Puducherry,1094
Bassas da India,NA,Dehradun,1095
Benin,Alibori,Malanville (CBM),1096
Benin,Alibori,Banikoara,1097
Benin,Atakora,Kérou,1098
Benin,Atakora,Tanguiéta,1099
Benin,Atakora,Natitingou,1100
Benin,Borgou,Sinendé,1101
Benin,Borgou,Kalalé,1102
Benin,Borgou,Nikki,1103
Benin,Borgou,N'Dali,1104
Benin,Borgou,Parakou,1105
Benin,Collines,Savalou,1106
Benin,Collines,Glazoué,1107
Benin,Couffo,Azovè,1108
Benin,Donga,Djougou,1109
Benin,Littoral,Dantokpa,1110
Benin,Mono,Comè,1111
Benin,Oueme,Ouando,1112
Benin,Plateau,Kétou,1113
Benin,Plateau,Pobè,1114
Benin,Zou,Bohicon,1115
Bhutan,NA,National Average,1116
Bolivia,Pando,Cobija,1117
Bolivia,Beni,Trinidad,1118
Bolivia,Chuquisaca,Sucre,1119
Bolivia,Cochabamba,Cochabamba City,1120
Bolivia,La Paz,La Paz City,1121
Bolivia,Oruro,Oruro City,1122
Bolivia,Potosi,Potosi,1123
Bolivia,Santa Cruz,Santa Cruz City,1124
Bolivia,Tarija,Tarija City,1125
Burkina Faso,Boucle Du Mouhoun,Tougan,1126
Burkina Faso,Boucle Du Mouhoun,Dedougou,1127
Burkina Faso,Cascades,Banfora,1128
Burkina Faso,Centre,Ouagadougo (Sankaryare),1129
Burkina Faso,Centre-est,Tenkodogo,1130
Burkina Faso,Centre-est,Pouytenga,1131
Burkina Faso,Centre-nord,Kongoussi,1132
Burkina Faso,Centre-nord,Kaya,1133
Burkina Faso,Centre-ouest,Koudougou,1134
Burkina Faso,Centre-ouest,Leo,1135
Burkina Faso,Centre-sud,Guelwongo,1136
Burkina Faso,Est,Fada N'Gourma,1137
Burkina Faso,Est,Kantchari (CBM),1138
Burkina Faso,Est,Namouno (CBM),1139
Burkina Faso,Hauts-bassins,Nieneta,1140
Burkina Faso,Nord,Gourcy,1141
Burkina Faso,Nord,Ouahigouya,1142
Burkina Faso,Plateau Central,Bousse,1143
Burkina Faso,Sahel,Djibo,1144
Burkina Faso,Sahel,Dori,1145
Burkina Faso,Sahel,Gorom Gorom,1146
Burkina Faso,Sud-ouest,Diebougou,1147
Burundi,Bubanza,Musenyi,1148
Burundi,Bujumbura Mairie,Bujumbura,1149
Burundi,Bujumbura Mairie,Sogemac (central market Bujumbura),1150
Burundi,Cibitoke,Rugombo,1151
Burundi,Gitega,Gitega,1152
Burundi,Kirundo,Kirundo,1153
Burundi,Muyinga,Muyinga,1154
Burundi,Ngozi,Ngozi,1155
Burundi,Ruyigi,Ruyigi,1156
Cambodia,Banteay Meanchey,Banteay Meanchey,1157
Cambodia,Banteay Meanchey,Serei Saophoan,1158
Cambodia,Banteay Meanchey,Thma Puok,1159
Cambodia,Battambang,Battambang,1160
Cambodia,Kampong Cham,Kampong Cham,1161
Cambodia,Kampong Cham,Pha'av,1162
Cambodia,Kampong Cham,Boeung Kok,1163
Cambodia,Kampong Chhnang,Kampong Chhnang,1164
Cambodia,Kampong Chhnang,Sala Lekh Pram,1165
Cambodia,Kampong Speu,Central Market (KSP),1166
Cambodia,Kampong Speu,Bat Doeng,1167
Cambodia,Kampong Speu,Kampong Speu,1168
Cambodia,Kampong Thom,Kampong Thum,1169
Cambodia,Kampong Thom,Kampong Chheuteal,1170
Cambodia,Kampot,Kampot,1171
Cambodia,Kandal,S'ang,1172
Cambodia,Kandal,Ta Khmau,1173
Cambodia,Kratie,Kratie,1174
Cambodia,Preah Sihanouk,Preah Sihanouk,1175
Cambodia,Mondul Kiri,Mondul Kiri,1176
Cambodia,Otdar Meanchey,Anlong Veng,1177
